customer_id,order_date,product_id,category_id,category_name,product_name,quantity,price,payment_method,city,review_score,gender,age,day_of_week,month,quarter,total_price,revenue,qty_7d_ma,qty_30d_ma,qty_lag_1,price_lag_1,avg_price,target
77729,2024-03-23,744,50,Sports & Outdoors,Basketball,3,243.37,Credit Card,Julieborough,3.0,F,64,5,3,1,730.11,730.11,3.0,3.0,0.0,243.37,275.70694444444445,3
65624,2024-03-26,732,50,Sports & Outdoors,Basketball,2,188.47,Credit Card,West Krista,5.0,,63,1,3,1,376.94,376.94,2.5,2.5,3.0,243.37,275.70694444444445,2
55371,2024-04-02,753,50,Sports & Outdoors,Basketball,4,263.69,Cash on Delivery,South Anthonyfurt,5.0,,73,1,4,2,1054.76,1054.76,3.0,3.0,2.0,188.47,275.70694444444445,4
98322,2024-04-08,157,50,Sports & Outdoors,Basketball,1,200.44,Bank Transfer,North Alexis,5.0,F,60,0,4,2,200.44,200.44,2.5,2.5,4.0,263.69,275.70694444444445,1
52134,2024-04-11,592,50,Sports & Outdoors,Basketball,1,340.27,Bank Transfer,West Rogerberg,1.0,M,65,3,4,2,340.27,340.27,2.2,2.2,1.0,200.44,275.70694444444445,1
35822,2024-04-22,748,50,Sports & Outdoors,Basketball,1,473.99,Bank Transfer,Lake Jason,5.0,M,57,0,4,2,473.99,473.99,2.0,2.0,1.0,340.27,275.70694444444445,1
73293,2024-04-30,799,50,Sports & Outdoors,Basketball,1,463.62,Credit Card,Port Thomaston,5.0,,72,1,4,2,463.62,463.62,1.8571428571428572,1.8571428571428572,1.0,473.99,275.70694444444445,1
81927,2024-05-04,669,50,Sports & Outdoors,Basketball,1,482.29,Credit Card,Dukeborough,4.0,M,61,5,5,2,482.29,482.29,1.5714285714285714,1.75,1.0,463.62,275.70694444444445,1
24024,2024-05-09,869,50,Sports & Outdoors,Basketball,5,419.98,Bank Transfer,Shanetown,4.0,M,55,3,5,2,2099.9,2099.9,2.0,2.111111111111111,1.0,482.29,275.70694444444445,5
82700,2024-05-30,410,50,Sports & Outdoors,Basketball,5,37.87,Cash on Delivery,New Carolfort,,M,55,3,5,2,189.35,189.35,2.142857142857143,2.4,5.0,419.98,275.70694444444445,5
61332,2024-06-01,200,50,Sports & Outdoors,Basketball,2,68.94,Bank Transfer,Paulberg,,,39,5,6,2,137.88,137.88,2.2857142857142856,2.3636363636363638,5.0,37.87,275.70694444444445,2
33897,2024-06-11,755,50,Sports & Outdoors,Basketball,1,323.43,Credit Card,Port Joseph,5.0,M,48,1,6,2,323.43,323.43,2.2857142857142856,2.25,2.0,68.94,275.70694444444445,1
68218,2024-06-11,680,50,Sports & Outdoors,Basketball,4,237.15,Cash on Delivery,Markton,4.0,F,39,1,6,2,948.6,948.6,2.7142857142857144,2.3846153846153846,1.0,323.43,275.70694444444445,4
76140,2024-06-29,673,50,Sports & Outdoors,Basketball,2,293.67,Credit Card,New Terri,5.0,M,65,5,6,2,587.34,587.34,2.857142857142857,2.357142857142857,4.0,237.15,275.70694444444445,2
77455,2024-06-29,845,50,Sports & Outdoors,Basketball,3,297.33,Credit Card,Joshuamouth,3.0,M,64,5,6,2,891.99,891.99,3.142857142857143,2.4,2.0,293.67,275.70694444444445,3
